"","threshold","SWI","clustering","path_length","modularity_louvain","hub_index","top_hubs","assort_degree","assort_hemisphere","assort_lobe","density","mean_degree","components","diameter"
"1",0.1,1.32779524349516,0.490851640084261,7.53760952736557,0.545370660725334,7.2879532525831,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Central Opercular Cortex, Right Parietal Operculum Cortex, Right Lateral Occipital Cortex superior division",0.359695996122099,0.125814430046795,0.298268201378442,0.100603492552645,17.7062146892655,2,17.9179048171867
"2",0.15,0.827409827069729,0.483885227455393,7.23101053134757,0.447957470117377,6.80024725405354,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Planum Polare, Right Central Opercular Cortex, Right Lateral Occipital Cortex superior division",0.31252960523021,0.109054406184253,0.233419590340712,0.150873138161274,26.5536723163842,1,17.5417551173266
"3",0.2,0.626137615407349,0.49720019023365,7.10558388540832,0.398182880385112,7.03606013589428,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Planum Polare, Right Cingulate Gyrus anterior division, Right Lateral Occipital Cortex superior division",0.279086487190171,0.0844637254332379,0.186639252040616,0.201142783769902,35.4011299435028,1,17.1798164775753
"4",0.25,0.507089100081984,0.513131834585048,7.03514651338559,0.35411526376902,7.02975849834039,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Planum Polare, Right Precentral Gyrus",0.216092316435481,0.0657525096418877,0.145453517969759,0.251476630713919,44.2598870056497,1,17.1675965816553
"5",0.3,0.424133998413358,0.52803971970844,7.00839101965111,0.319351770682014,6.93994314143568,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Precentral Gyrus, Right Planum Polare",0.164105133593821,0.0580080858169576,0.120974097085915,0.301746276322548,53.1073446327684,1,17.1675965816553
"6",0.35,0.36589797904941,0.546775279563788,6.99774342552509,0.291562726800346,6.87948177161796,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Planum Polare, Right Precentral Gyrus",0.122703447098526,0.0456593659451139,0.1032914451785,0.352015921931176,61.954802259887,1,17.1675965816553
"7",0.4,0.322133921212935,0.567195904910637,6.99410199851456,0.27001563432496,6.88172043010753,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Planum Polare, Right Precentral Gyrus",0.0945440420333267,0.0339672077056124,0.083721812644085,0.402285567539805,70.8022598870056,1,17.1675965816553
"8",0.45,0.289605750194034,0.592220490787161,6.99315149759617,0.248594196641053,6.89638378180933,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Planum Polare, Right Precentral Gyrus",0.069834533808817,0.0231554560688046,0.0654003700789493,0.452555213148433,79.6497175141243,1,17.1675965816553
"9",0.5,0.262837681956188,0.617326717138573,6.99300708244198,0.236229035678012,6.89932395395578,"Left Lateral Occipital Cortex superior division, Left Putamen, Right Lateral Occipital Cortex superior division, Right Planum Polare, Right Precentral Gyrus",0.035512452024592,0.0167136988582365,0.0567184194410075,0.50288906009245,88.5084745762712,1,17.1675965816553
